#{"t_start": 1649129588.7842267, "env_id": null}
r,l,t
0.0,6,2.34902
0.0,6,2.382557
0.0,6,2.404133
0.0,6,2.426827
0.0,6,2.449383
0.0,6,2.469473
0.0,6,2.49143
0.0,6,2.513812
0.0,6,2.534708
0.0,6,2.556008
0.0,6,2.578649
0.0,6,2.600202
0.0,6,2.624075
0.0,6,2.648452
0.0,6,2.672649
0.0,6,2.696538
0.0,6,2.719579
0.0,6,2.744005
0.0,6,2.767149
0.0,6,2.788545
0.0,6,2.809675
0.0,6,2.832174
0.0,6,2.853948
0.0,6,2.875596
0.0,6,2.897894
0.0,6,2.91975
0.0,6,2.939742
0.0,6,2.961631
0.0,6,2.984136
0.0,6,3.005386
0.0,6,3.027159
0.0,6,3.049746
0.0,6,3.071
0.0,6,3.092179
0.0,6,3.113622
0.0,6,3.135029
0.0,6,3.155729
0.0,6,3.179063
0.0,6,3.202122
0.0,6,3.222041
0.0,6,3.245112
0.0,6,3.26825
0.0,6,3.288933
0.0,6,3.311277
0.0,6,3.334549
0.0,6,3.355417
0.0,6,3.377678
0.0,6,3.399231
0.0,6,3.421454
0.0,6,3.441756
0.0,6,3.462659
0.0,6,3.484078
0.0,6,3.504472
0.0,6,3.527288
0.0,6,3.549352
0.0,6,3.571221
0.0,6,3.59225
0.0,6,3.615729
0.0,6,3.637585
0.0,6,3.658158
0.0,6,3.680785
0.0,6,3.702764
0.0,6,3.723193
0.0,6,3.744276
0.0,6,3.765673
0.0,6,3.786175
0.0,6,3.806979
0.0,6,3.828106
0.0,6,3.850033
0.0,6,3.87083
0.0,6,3.893825
0.0,6,3.915694
0.0,6,3.935691
0.0,6,3.957607
0.0,6,3.980766
0.0,6,4.004634
0.0,6,4.027754
0.0,6,4.049467
0.0,6,4.070779
0.0,6,4.091747
0.0,6,4.113389
0.0,6,4.135057
0.0,6,4.154992
0.0,6,4.176465
0.0,6,4.198585
0.0,6,4.21855
0.0,6,4.239715
0.0,6,4.260554
0.0,6,4.281123
0.0,6,4.302365
0.0,6,4.322891
0.0,6,4.343679
0.0,6,4.364859
0.0,6,4.386108
0.0,6,4.405832
0.0,6,4.427098
0.0,6,4.448292
0.0,6,4.468123
0.0,6,4.489576
0.0,6,4.510414
0.0,6,4.531003
0.0,6,4.552428
0.0,6,4.574771
0.0,6,4.59641
0.0,6,4.617704
0.0,6,4.639608
0.0,6,4.663765
0.0,6,4.68673
0.0,6,4.711778
0.0,6,4.738046
0.0,6,4.762888
0.0,6,4.785097
0.0,6,4.805973
0.0,6,4.828638
0.0,6,4.850605
0.0,6,4.871354
0.0,6,4.893451
0.0,6,4.915503
0.0,6,4.935347
0.0,6,4.956767
0.0,6,4.979638
0.0,6,5.000846
0.0,6,5.021831
0.0,6,5.04285
0.0,6,5.06458
0.0,6,5.087044
0.0,6,5.111408
0.0,6,5.135578
0.0,6,5.159139
0.0,6,5.182543
0.0,6,5.204951
0.0,6,5.227819
0.0,6,5.251309
0.0,6,5.272849
0.0,6,5.294169
0.0,6,5.31636
0.0,6,5.337668
0.0,6,5.359932
0.0,6,5.382652
0.0,6,5.403404
0.0,6,5.425248
0.0,6,5.447534
0.0,6,5.46777
0.0,6,5.489745
0.0,6,5.511429
0.0,6,5.532769
0.0,6,5.554179
0.0,6,5.576231
0.0,6,5.599909
0.0,6,5.62038
0.0,6,5.643125
0.0,6,5.665476
0.0,6,5.685247
0.0,6,5.707426
0.0,6,5.729189
0.0,6,5.75007
0.0,6,5.771496
0.0,6,5.79289
0.0,6,5.814825
0.0,6,5.860477
0.0,6,5.90708
0.0,6,5.957041
0.0,6,6.003564
0.0,6,6.049329
0.0,6,6.094177
0.0,6,6.14374
0.0,6,6.189411
0.0,6,6.237572
0.0,6,6.2845
