/Graph
Time (s),posX (Meters),posY (Meters),posZ (Meters)
0.05000,-8.0071e-01,-5.9849e-01,+1.9167e-02
0.10000,-8.0095e-01,-5.9798e-01,+1.9173e-02
0.15000,-8.0116e-01,-5.9753e-01,+1.9170e-02
0.20000,-8.0134e-01,-5.9714e-01,+1.9173e-02
0.25000,-8.0155e-01,-5.9669e-01,+1.9173e-02
0.30000,-8.0173e-01,-5.9629e-01,+1.9170e-02
0.35000,-8.0246e-01,-5.9473e-01,+1.9172e-02
0.40000,-8.0270e-01,-5.9421e-01,+1.9170e-02
0.45000,-8.0290e-01,-5.9377e-01,+1.9172e-02
0.50000,-8.0309e-01,-5.9338e-01,+1.9175e-02
0.55000,-8.0329e-01,-5.9294e-01,+1.9176e-02
0.60000,-8.0348e-01,-5.9253e-01,+1.9175e-02
0.65000,-8.0421e-01,-5.9096e-01,+1.9173e-02
0.70000,-8.0446e-01,-5.9045e-01,+1.9174e-02
0.75000,-8.0466e-01,-5.9001e-01,+1.9172e-02
0.80000,-8.0485e-01,-5.8961e-01,+1.9175e-02
0.85000,-8.0504e-01,-5.8919e-01,+1.9174e-02
0.90000,-8.0524e-01,-5.8875e-01,+1.9174e-02
0.95000,-8.0543e-01,-5.8836e-01,+1.9177e-02
1.00000,-8.0563e-01,-5.8793e-01,+1.9174e-02
1.05000,-8.0583e-01,-5.8750e-01,+1.9175e-02
1.10000,-8.0602e-01,-5.8711e-01,+1.9179e-02
1.15000,-8.0622e-01,-5.8666e-01,+1.9178e-02
1.20000,-8.0641e-01,-5.8626e-01,+1.9178e-02
1.25000,-8.0661e-01,-5.8584e-01,+1.9175e-02
1.30000,-8.0681e-01,-5.8541e-01,+1.9176e-02
1.35000,-8.0700e-01,-5.8502e-01,+1.9180e-02
1.40000,-8.0721e-01,-5.8457e-01,+1.9180e-02
1.45000,-8.0740e-01,-5.8416e-01,+1.9178e-02
1.50000,-8.0759e-01,-5.8376e-01,+1.9179e-02
1.55000,-8.0781e-01,-5.8332e-01,+1.9181e-02
1.60000,-8.0799e-01,-5.8292e-01,+1.9180e-02
1.65000,-8.0819e-01,-5.8251e-01,+1.9181e-02
1.70000,-8.0840e-01,-5.8206e-01,+1.9181e-02
1.75000,-8.0858e-01,-5.8168e-01,+1.9182e-02
1.80000,-8.0878e-01,-5.8125e-01,+1.9179e-02
1.85000,-8.0900e-01,-5.8082e-01,+1.9179e-02
1.90000,-8.0918e-01,-5.8043e-01,+1.9182e-02
1.95000,-8.0939e-01,-5.8000e-01,+1.9185e-02
2.00000,-8.1012e-01,-5.7843e-01,+1.9186e-02
2.05000,-8.1037e-01,-5.7792e-01,+1.9188e-02
2.10000,-8.1058e-01,-5.7748e-01,+1.9192e-02
2.15000,-8.1078e-01,-5.7705e-01,+1.9185e-02
2.20000,-8.1126e-01,-5.7608e-01,+1.9188e-02
2.25000,-8.1149e-01,-5.7563e-01,+1.9191e-02
